,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.9164,0.4218,0.9695,0.5591,0.5776,0.7092
1,0.9167,0.4372,0.9705,0.5786,0.592,0.725
2,0.9295,0.4564,0.9703,0.5962,0.6122,0.7386
3,0.9296,0.4744,0.9701,0.6126,0.6282,0.751
4,0.9353,0.5,0.9692,0.6327,0.6516,0.7656
5,0.9365,0.5103,0.9695,0.639,0.6606,0.7702
6,0.9384,0.5269,0.9702,0.6553,0.6748,0.7822
7,0.9395,0.5372,0.9705,0.6623,0.6836,0.7874
8,0.9407,0.5487,0.9708,0.6692,0.6932,0.7922
9,0.9416,0.5577,0.9711,0.6767,0.7006,0.7976
10,0.9422,0.5641,0.9713,0.6818,0.7056,0.8012
11,0.9406,0.5679,0.9706,0.6843,0.7082,0.8026
12,0.9411,0.5731,0.9707,0.6887,0.7124,0.8058
13,0.9421,0.5846,0.971,0.6943,0.7214,0.8096
14,0.9427,0.591,0.9711,0.6975,0.7266,0.8118
15,0.9447,0.5037,0.9702,0.5483,0.657,0.7006
