,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.8827,0.7449,0.905,0.7563,0.808,0.824
1,0.8943,0.7556,0.9124,0.7643,0.8192,0.8318
2,0.8967,0.7574,0.9147,0.7663,0.8212,0.834
3,0.8987,0.7591,0.9162,0.7676,0.823,0.8354
4,0.8986,0.759,0.9161,0.7675,0.823,0.8352
5,0.8991,0.7595,0.9164,0.7677,0.8234,0.8354
6,0.899,0.7594,0.9165,0.7678,0.8234,0.8356
7,0.8989,0.7592,0.9166,0.7679,0.8232,0.8356
8,0.899,0.7593,0.9168,0.7681,0.8232,0.8358
9,0.8993,0.7596,0.9169,0.7681,0.8236,0.836
10,0.8993,0.7595,0.917,0.7683,0.8236,0.836
11,0.8994,0.7596,0.9168,0.7681,0.8236,0.8358
12,0.8995,0.7595,0.9169,0.7682,0.8236,0.836
13,0.8996,0.7597,0.9169,0.7682,0.8238,0.836
14,0.8996,0.7597,0.9169,0.7682,0.8238,0.836
15,0.8997,0.7598,0.917,0.7683,0.8238,0.836
16,0.8997,0.7597,0.9171,0.7684,0.8238,0.8362
17,0.8996,0.7596,0.9169,0.7682,0.8236,0.836
18,0.8996,0.7596,0.9169,0.7682,0.8236,0.836
19,0.9,0.7599,0.9172,0.7684,0.824,0.8362
20,0.8998,0.7598,0.9171,0.7684,0.8238,0.8362
21,0.8998,0.7598,0.9171,0.7684,0.8238,0.8362
22,0.9,0.7599,0.9172,0.7684,0.824,0.8362
23,0.9001,0.76,0.9173,0.7685,0.8242,0.8364
24,0.8998,0.7598,0.9171,0.7684,0.8238,0.8362
