,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
text_number_detector,0.816,0.1506,0.8312,0.1344,0.2542,0.2314
text_unit_detector,0.7263,0.1201,0.8058,0.1162,0.2062,0.2032
token_number_detector,0.8565,0.1767,0.9247,0.1547,0.293,0.265
token_unit_detector,0.7853,0.1114,0.8437,0.1134,0.1952,0.2
CDE_material_detector,0.6124,0.1375,0.7276,0.1645,0.2246,0.2684
MatScholar_material_detector,0.5657,0.0487,0.7071,0.049,0.0896,0.0916
MatScholar_BERT_detector,0.3787,0.1549,0.378,0.1854,0.2198,0.2488
MSTC_BERT_detector,0.5931,0.6902,0.6485,0.7012,0.638,0.6738
