,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.8499,0.6395,0.9607,0.6364,0.7298,0.7656
1,0.8632,0.658,0.9587,0.645,0.7468,0.7712
2,0.8691,0.6634,0.9588,0.6468,0.7524,0.7724
3,0.8691,0.6634,0.9588,0.6468,0.7524,0.7724
4,0.8535,0.658,0.9588,0.6474,0.7432,0.773
5,0.825,0.645,0.9588,0.6462,0.724,0.772
6,0.8172,0.6406,0.9587,0.6456,0.7182,0.7716
7,0.8068,0.6211,0.959,0.6369,0.7018,0.7654
8,0.8213,0.6189,0.9596,0.6323,0.7058,0.7624
9,0.8491,0.6232,0.9593,0.6283,0.7188,0.7592
10,0.8516,0.6167,0.9599,0.6242,0.7154,0.7564
11,0.8591,0.6156,0.9598,0.6219,0.7172,0.7548
12,0.8493,0.6059,0.9596,0.6184,0.7072,0.7522
13,0.8449,0.5972,0.9593,0.6144,0.6998,0.749
14,0.8367,0.5896,0.96,0.612,0.6918,0.7474
15,0.8432,0.5896,0.9608,0.6109,0.694,0.747
16,0.848,0.5874,0.9607,0.6086,0.694,0.7452
17,0.847,0.5831,0.9606,0.6063,0.6908,0.7434
18,0.845,0.5744,0.9603,0.6016,0.684,0.7398
19,0.8463,0.5679,0.96,0.5976,0.6796,0.7366
20,0.8543,0.5668,0.9617,0.5958,0.6814,0.7358
21,0.8618,0.5689,0.9626,0.5958,0.6854,0.736
22,0.8614,0.5668,0.9625,0.5947,0.6838,0.7352
23,0.8557,0.5603,0.9633,0.5924,0.6772,0.7336
24,0.8533,0.5559,0.9641,0.5906,0.6732,0.7324
